disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,ia_validRegistrations,n_i,fema_per_capita,fema_per_applicant,x_i,pct_need_met,per_applicant_alloc
4332,TX,Aransas County,30527809.96,1.4285714285714286,43611157.08571429,25421.0,13059.0,3339.547981140538,1200.8894205578065,2337.683586798377,31130073.17333398,71.38098425627707,2383.8022186487465
4332,TX,Austin County,1206073.89,1.4285714285714286,1722962.7,29729.0,834.0,2065.902517985612,40.568935719331286,1446.131762589928,924156.8651639398,53.637659431857685,1108.1017567912947
4332,TX,Bastrop County,801406.51,1.4285714285714286,1144866.442857143,84624.0,765.0,1496.5574416433242,9.47020360654188,1047.5902091503267,412726.75166603987,36.05020954549369,539.5120936810979
4332,TX,Bee County,856932.55,1.4285714285714286,1224189.3571428573,32598.0,2280.0,536.9251566416041,26.287887293699,375.84760964912283,122418.93571428573,10.0,53.69251566416041
4332,TX,Brazoria County,75089385.68,1.4285714285714286,107270550.9714286,362261.0,39903.0,2688.2828602217523,207.2797946232137,1881.7980021552266,68973888.80370305,64.29899742201769,1728.5389269905284
4332,TX,Caldwell County,296325.96,1.4285714285714286,423322.8000000001,42302.0,241.0,1756.5261410788385,7.005010637794904,1229.5682987551868,192821.22387811504,45.5494539576217,800.0880658842948
4332,TX,Calhoun County,4927668.29,1.4285714285714286,7039526.128571428,21716.0,6213.0,1133.0317284035775,226.91417802541903,793.1222098825044,1074709.428455724,15.26678655391,172.97753556345145
4332,TX,Chambers County,25926365.200000003,1.4285714285714286,37037664.571428575,41249.0,6016.0,6156.526690729484,628.5331814104585,4309.568683510639,31237905.356078718,84.34091543713618,5192.4709700928715
4332,TX,Colorado County,1670617.91,1.4285714285714286,2386597.0142857144,21301.0,1014.0,2353.645970695971,78.42908361109806,1647.5521794871795,1415635.5908382065,59.316071476017186,1396.0903262704205
4332,TX,DeWitt County,773530.8600000001,1.4285714285714286,1105044.085714286,20164.0,1405.0,786.50824605999,38.361974806586,550.5557722419929,110504.4085714286,10.0,78.650824605999
4332,TX,Fayette County,5551638.390000001,1.4285714285714286,7930911.985714287,25110.0,799.0,9926.04754156982,221.09272759856637,6948.233279098874,7164294.288979492,90.33380148316259,8966.576081326022
4332,TX,Fort Bend County,97539696.02,1.4285714285714286,139342422.8857143,768258.0,58179.0,2395.063904256077,126.96216117502192,1676.5447329792537,83219350.87260862,59.72291076125708,1430.4018782139367
4332,TX,Galveston County,109100465.0,1.4285714285714286,155857807.14285713,334691.0,44551.0,3498.413215031248,325.97370410318774,2448.8892505218737,113010450.58499628,72.50868766645256,2536.653511368909
4332,TX,Goliad County,689934.58,1.4285714285714286,985620.8285714284,7559.0,1131.0,871.4596185423771,91.27326101336156,610.021732979664,98562.08285714284,10.0,87.1459618542377
4332,TX,Gonzales County,301353.19,1.4285714285714286,430504.5571428572,20743.0,606.0,710.4035596416785,14.527946295135708,497.28249174917494,43050.45571428572,10.000000000000002,71.04035596416786
4332,TX,Grimes County,649697.17,1.4285714285714286,928138.8142857144,27924.0,401.0,2314.560634128964,23.26662261853603,1620.1924438902745,542868.605319954,58.49002293237135,1353.7870456856708
4332,TX,Hardin County,37126940.59,1.4285714285714286,53038486.55714286,57194.0,10172.0,5214.165017414753,649.1404795957618,3649.915512190327,43284225.403161705,81.60908844283846,4255.232540617549
4332,TX,Harris County,780618046.3699999,1.4285714285714286,1115168637.6714284,4655798.0,447076.0,2494.36032726299,167.66578927393326,1746.052229084093,685241666.894827,61.44735816151293,1532.7185241319753
4332,TX,Jackson County,717188.8,1.4285714285714286,1024555.4285714286,14798.0,2356.0,434.870725200097,48.46525206108934,304.40950764006794,102455.54285714286,10.0,43.487072520009704
