state,county,population,d_i,n_i,ia_totalApprovedIhp,fema_per_capita,num_disasters,disaster_list,x_i_maximin,y_i,pct_need_met,per_capita_alloc
PR,Aguadilla,56765.0,40633246.6,715.8151431339734,16253298.64,286.3260572535894,1,[4339],40633246.6,1,100.0,715.8151431339734
PR,Aguas Buenas,25515.0,31362651.125,1229.1848373505782,12545060.45,491.6739349402312,1,[4339],31362651.125,1,100.0,1229.1848373505782
PR,Aibonito,25030.0,43323548.2,1730.864890131842,17329419.28,692.3459560527367,1,[4339],43323548.2,1,100.0,1730.864890131842
PR,Anasco,26645.0,42565419.97500001,1597.5012188027777,17026167.990000002,639.0004875211109,2,"[4337, 4339]",42565419.97500001,1,100.0,1597.5012188027777
PR,Arecibo,90083.0,102470845.35,1137.5159058867932,40988338.14,455.00636235471734,1,[4339],102470845.35,1,100.0,1137.5159058867932
PR,Arroyo,16888.0,24219554.725,1434.1280628256752,9687821.89,573.6512251302701,1,[4339],24219554.725,1,100.0,1434.1280628256752
PR,Barceloneta,23364.0,31443718.8,1345.8191576784798,12577487.52,538.3276630713918,1,[4339],31443718.8,1,100.0,1345.8191576784798
PR,Barranquitas,29466.0,54056463.975,1834.536889126451,21622585.59,733.8147556505803,1,[4339],54056463.975,1,100.0,1834.536889126451
PR,Bayamon,191556.0,122425757.1,639.1120982897951,48970302.84,255.6448393159181,1,[4339],122425757.1,1,100.0,639.1120982897951
PR,Cabo Rojo,48455.0,16892577.975,348.624042410484,6757031.19,139.44961696419358,1,[4339],0.0,0,0.0,0.0
PR,Caguas,131805.0,97671568.025,741.030826030879,39068627.21,296.4123304123516,1,[4339],97671568.025,1,100.0,741.030826030879
PR,Camuy,33505.0,24168722.7,721.3467452619012,9667489.08,288.5386981047605,1,[4339],24168722.7,1,100.0,721.3467452619012
PR,Canovanas,44034.0,94625038.25000001,2148.908530907935,37850015.300000004,859.563412363174,2,"[4336, 4339]",94625038.25,1,99.99999999999999,2148.9085309079346
