state,num_regions,total_need,total_allocation,total_fema_actual,total_pop,total_applicants,regions_funded,pct_need_met,per_applicant_maximin,per_applicant_fema
FL,49,1458124156.657143,0.0,1020686909.66,19465017.0,2623093.0,0,0.0,0.0,389.11579179998574
GA,9,19485005.242857143,0.0,13639503.670000002,724962.0,43717.0,0,0.0,0.0,311.9954175721116
PR,78,3370978015.375,2112422441.4169278,1348391206.15,3410837.0,1119625.0,49,62.66497235467536,1886.7231809015766,1204.3239532432735
SC,1,0.0,0.0,0.0,56974.0,1.0,0,,0.0,0.0
TX,43,2366268230.7714286,1946110737.5373576,1656387761.54,8620640.0,886593.0,14,82.24387718305735,2195.0441042703446,1868.2617182179422
VI,3,121279388.17142858,65467773.78571428,84895571.72,106405.0,38478.0,2,53.98095651107301,1701.4339047173523,2206.3405509641875
