disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,n_i,fema_per_capita,x_i,pct_need_met,per_capita_alloc
4332,TX,Aransas County,30527809.96,1.4285714285714286,43611157.08571429,25421.0,1715.5563150825808,1200.8894205578065,39178365.154990934,89.8356470524021,1541.1811162027825
4332,TX,Austin County,1206073.89,1.4285714285714286,1722962.7,29729.0,57.95562245618756,40.568935719331286,172296.27000000002,10.000000000000002,5.795562245618757
4332,TX,Bastrop County,801406.51,1.4285714285714286,1144866.442857143,84624.0,13.52886229505983,9.47020360654188,114486.64428571431,10.0,1.3528862295059831
4332,TX,Bee County,856932.55,1.4285714285714286,1224189.3571428573,32598.0,37.55412470528429,26.287887293699,122418.93571428573,10.0,3.7554124705284293
4332,TX,Brazoria County,75089385.68,1.4285714285714286,107270550.9714286,362261.0,296.1139923188767,207.27979462321366,44603914.04755569,41.58076344684377,123.12645867911725
4332,TX,Caldwell County,296325.96,1.4285714285714286,423322.8000000001,42302.0,10.00715805399272,7.0050106377949035,42332.28000000001,10.0,1.0007158053992722
4332,TX,Calhoun County,4927668.29,1.4285714285714286,7039526.128571428,21716.0,324.1631114648844,226.91417802541903,3282743.615042873,46.633019823865034,151.16704803107723
4332,TX,Chambers County,25926365.200000003,1.4285714285714286,37037664.571428575,41249.0,897.9045448720835,628.5331814104585,29875061.624230687,80.6612997064528,724.2614760171322
4332,TX,Colorado County,1670617.91,1.4285714285714286,2386597.0142857144,21301.0,112.0415480158544,78.42908361109806,238659.70142857145,10.0,11.20415480158544
4332,TX,DeWitt County,773530.8600000001,1.4285714285714286,1105044.085714286,20164.0,54.80282115226572,38.361974806586,110504.4085714286,10.0,5.480282115226572
4332,TX,Fayette County,5551638.390000001,1.4285714285714286,7930911.985714287,25110.0,315.8467537122376,221.09272759856634,3568866.64999524,44.99944844204213,142.12929709260214
4332,TX,Fort Bend County,97539696.02,1.4285714285714286,139342422.8857143,768258.0,181.37451596431703,126.96216117502193,13934242.28857143,10.0,18.137451596431706
4332,TX,Galveston County,109100465.0,1.4285714285714286,155857807.14285713,334691.0,465.676720147411,325.97370410318774,97932519.95989445,62.83452959795004,292.6057765517879
4332,TX,Goliad County,689934.58,1.4285714285714286,985620.8285714284,7559.0,130.3903728762308,91.27326101336155,98562.08285714284,10.0,13.039037287623078
4332,TX,Gonzales County,301353.19,1.4285714285714286,430504.5571428572,20743.0,20.75420899305101,14.527946295135708,43050.45571428572,10.000000000000002,2.0754208993051018
4332,TX,Grimes County,649697.17,1.4285714285714286,928138.8142857144,27924.0,33.23803231219433,23.26662261853603,92813.88142857145,10.0,3.323803231219433
4332,TX,Hardin County,37126940.59,1.4285714285714286,53038486.55714286,57194.0,927.3435422796598,649.1404795957618,43086174.39105658,81.23567844387149,753.3338180763119
4332,TX,Harris County,780618046.3699999,1.4285714285714286,1115168637.6714284,4655798.0,239.52255610561892,167.66578927393326,310610674.46462667,27.85324694148586,66.71480903265706
4332,TX,Jackson County,717188.8,1.4285714285714286,1024555.4285714286,14798.0,69.23607437298477,48.46525206108934,102455.54285714286,10.0,6.923607437298477
4332,TX,Jasper County,4644882.08,1.4285714285714286,6635545.828571429,35580.0,186.49651007789288,130.54755705452502,663554.5828571429,10.0,18.649651007789288
4332,TX,Jefferson County,180249391.35,1.4285714285714286,257499130.5,255889.0,1006.2923005678244,704.404610397477,212913984.7879496,82.68532183954291,832.056027371046
4332,TX,Karnes County,252495.99,1.4285714285714286,360708.5571428571,15590.0,23.13717492898378,16.196022450288645,36070.85571428571,10.0,2.3137174928983777
4332,TX,Kleberg County,430586.58,1.4285714285714286,615123.6857142857,30756.0,20.000119837244306,14.00008388607101,61512.368571428575,10.0,2.00001198372443
