disasterNumber,state,county_clean,owner_validRegistrations,owner_totalDamage,owner_approved,owner_totalApprovedIhp,owner_repairReplaceAmount,owner_rentalAmount,renter_validRegistrations,renter_approved,renter_totalApprovedIhp,renter_repairReplaceAmount,renter_rentalAmount,renter_otherNeedsAmount,ia_totalApprovedIhp,ia_validRegistrations,ia_owner_totalDamage
4332,TX,Refugio County,1975.0,6643196.76,1059.0,4564870.22,3161481.94,703019.85,783.0,498.0,910645.38,0.0,404832.0,501830.11,5475515.6,2758.0,6643196.76
4332,TX,Sabine County,235.0,153394.91,66.0,113206.66,74243.19,13340.0,51.0,7.0,5864.0,0.0,2864.0,3000.0,119070.66,286.0,153394.91
4332,TX,San Jacinto County,1940.0,9832902.18,951.0,7786365.72,5861444.61,718841.01,486.0,172.0,388600.14,0.0,103172.0,284473.23,8174965.859999999,2426.0,9832902.18
4332,TX,San Patricio County,10535.0,14452534.12,4146.0,11868256.17,6800412.449999999,2548924.0,6035.0,2968.0,5330346.88,0.0,2702591.13,2593164.66,17198603.05,16570.0,14452534.12
4332,TX,Tyler County,1481.0,2646533.72,512.0,2150155.18,1411383.23,285033.53,433.0,106.0,95916.57,0.0,19718.0,75838.56999999999,2246071.75,1914.0,2646533.72
4332,TX,Victoria County,10775.0,11001660.51,3717.0,8383925.1,4503143.32,1725995.32,8814.0,3703.0,4706188.39,2300.4,1839720.34,2844706.97,13090113.489999998,19589.0,11001660.51
4332,TX,Walker County,1128.0,1587254.14,386.0,1334578.13,940658.48,234099.0,769.0,235.0,350439.11000000004,0.0,155731.0,194708.11,1685017.24,1897.0,1587254.14
4332,TX,Waller County,1381.0,5520341.6,627.0,3504100.13,2425548.54,713053.0,951.0,267.0,557113.8,0.0,190036.0,363966.8,4061213.9299999997,2332.0,5520341.6
4332,TX,Wharton County,3102.0,20391086.11,1817.0,12940014.84,8744257.5,1825189.49,2401.0,1124.0,2504360.1,0.0,706151.0,1781035.16,15444374.94,5503.0,20391086.11
4335,VI,St. John County,1250.0,21832864.44,662.0,7123049.77,5220763.46,1155813.0,1131.0,732.0,2288034.74,0.0,1527615.0,752867.88,9411084.51,2381.0,21832864.44
4335,VI,St. Thomas County,6032.0,37030629.080000006,2960.0,18980712.53,11967316.27,3928036.91,7378.0,4518.0,12425023.13,0.0,5700234.48,6695237.750000001,31405735.660000004,13410.0,37030629.080000006
4336,PR,Canovanas,767.0,2411371.07,256.0,3284669.8,2900575.1,114820.0,180.0,43.0,106128.51,0.0,27475.0,78653.51,3390798.3099999996,947.0,2411371.07
4336,PR,Catano,148.0,245714.57,33.0,299516.75,242691.04,13043.0,116.0,32.0,46780.27,0.0,4885.0,41895.27,346297.02,264.0,245714.57
4336,PR,Culebra,150.0,1623557.71,82.0,685247.01,509834.19,53166.0,63.0,27.0,65508.32,0.0,17774.0,47734.32,750755.33,213.0,1623557.71
4336,PR,Dorado,302.0,179697.72,71.0,863674.2,781181.26,19692.0,88.0,17.0,20781.77,0.0,5049.0,15732.77,884455.97,390.0,179697.72
4336,PR,Fajardo,560.0,421868.94,110.0,419306.79,279734.87,55251.0,221.0,56.0,63538.43,0.0,21486.0,42052.43,482845.22,781.0,421868.94
4336,PR,Loiza,742.0,2029679.75,331.0,1251234.39,761877.56,149336.0,175.0,67.0,106267.87,0.0,25157.0,81110.87,1357502.2599999998,917.0,2029679.75
4336,PR,Luquillo,303.0,192485.26,63.0,415660.69000000006,335116.79000000004,26239.0,104.0,30.0,43253.52,0.0,12446.0,30807.52,458914.2100000001,407.0,192485.26
4336,PR,Toa Baja,452.0,462074.85,107.0,1503015.03,1333467.71,39844.0,182.0,22.0,39144.53,0.0,8838.0,30306.53,1542159.56,634.0,462074.85
4336,PR,Vega Baja,517.0,656819.92,90.0,1231921.72,1087444.98,38600.0,186.0,23.0,32361.97,0.0,8382.0,23979.97,1264283.69,703.0,656819.92
4336,PR,Vieques,278.0,2493800.84,188.0,2436741.77,2175922.43,61706.0,71.0,28.0,35529.82,0.0,12961.0,22568.82,2472271.59,349.0,2493800.84
4337,FL,Alachua County,9658.0,3745567.84,2970.0,4392567.27,1946504.54,1348291.0,12185.0,3514.0,3204141.98,0.0,1607069.0,1590098.13,7596709.25,21843.0,3745567.84
4337,FL,Baker County,1790.0,925550.6,542.0,901725.58,485749.0,276736.0,1086.0,373.0,313052.1,0.0,170704.0,142348.1,1214777.68,2876.0,925550.6
4337,FL,Bradford County,2241.0,2592077.32,808.0,2433725.2800000003,1782370.0,346412.0,1290.0,439.0,481345.59,0.0,225086.0,252668.83,2915070.87,3531.0,2592077.32
4337,FL,Brevard County,35084.0,16422517.42,8218.0,16248900.7,8752716.91,4288071.0,28706.0,9019.0,9605392.36,0.0,5248610.0,4274180.25,25854293.06,63790.0,16422517.42
4337,FL,Broward County,128778.0,24724941.19,32659.0,43682619.96,9850521.17,22503392.87,177121.0,53864.0,62566269.16,2000.0,41042548.5,21392082.76,106248889.12,305899.0,24724941.19
4337,FL,Charlotte County,8342.0,2470530.5,2235.0,3290822.3400000003,1269220.44,1274308.0,6225.0,1989.0,1962721.84,0.0,1134264.0,821603.39,5253544.180000001,14567.0,2470530.5
4337,FL,Citrus County,8715.0,1826483.5,2735.0,3211800.01,969075.68,1426044.0,5532.0,1651.0,1436699.87,0.0,856524.0,577119.38,4648499.88,14247.0,1826483.5
4337,FL,Clay County,9668.0,10621547.9,2615.0,7861403.37,4872352.529999999,1896498.88,6011.0,1756.0,2098993.29,0.0,1124989.0,969702.63,9960396.66,15679.0,10621547.9
4337,FL,Collier County,39431.0,20500577.9,10801.0,21919368.38,10739838.06,6485164.77,32435.0,11145.0,13832920.66,0.0,8791472.98,4938711.63,35752289.04,71866.0,20500577.9
4337,FL,Columbia County,4259.0,1604416.3,1321.0,2024530.92,906754.4,655448.0,3814.0,1070.0,920210.46,0.0,447352.0,470172.0,2944741.38,8073.0,1604416.3
4337,FL,DeSoto County,2516.0,2749234.0,954.0,2619830.23,1719814.54,500403.0,1929.0,738.0,696378.0800000001,0.0,320604.0,375619.39,3316208.31,4445.0,2749234.0
