disasterNumber,disaster_label,stateAbbreviation,county,named_projectAmount,distributed_statewide_amt,adjusted_projectAmount,named_totalObligated,distributed_statewide_obl,adjusted_totalObligated
4332,Harvey – Texas,TX,Walker County,4143989.72,1525597.6255496086,5669587.345549609,3785431.5,1441993.689959858,5227425.189959858
4332,Harvey – Texas,TX,Waller County,2456059.08,904190.925613,3360250.005613,2258831.84,854640.5601432368,3113472.400143237
4332,Harvey – Texas,TX,Washington County,508232.95999999996,187104.46921717972,695337.4292171797,470978.31999999995,176850.99888462585,647829.3188846258
4332,Harvey – Texas,TX,Wharton County,7209336.27,2654095.940976579,9863432.210976578,6594400.01,2508649.420621328,9103049.430621328
4335,Irma – US Virgin Islands,VI,St. Croix,41502.5,738779.5390012825,780282.0390012825,41502.49,735259.3893720609,776761.8793720609
4335,Irma – US Virgin Islands,VI,St. John,9329.33,166069.95040276696,175399.28040276695,9284.91,165278.65740739592,174563.56740739592
4335,Irma – US Virgin Islands,VI,St. Thomas,3514789.37,62566218.190595955,66081007.56059595,3366329.6,62268101.58322055,65634431.18322055
4336,Irma – Puerto Rico,PR,Aguas Buenas,225201.22999999998,130736.18071808058,355937.4107180806,185211.93999999997,104078.08121936521,289290.0212193652
4336,Irma – Puerto Rico,PR,Camuy,83107.16,48246.240434505795,131353.4004345058,66775.62,38408.46583471494,105184.08583471493
4336,Irma – Puerto Rico,PR,Canovanas,70449.67000000001,40898.18154478616,111347.85154478617,59611.259999999995,32558.731922278927,92169.99192227892
4336,Irma – Puerto Rico,PR,Catano,63516.14,36873.05596667881,100389.19596667882,51260.85,29354.35999910201,80615.20999910201
4336,Irma – Puerto Rico,PR,Ciales,84351.01000000001,48968.33328624637,133319.34328624638,63263.27,38983.31847350696,102246.58847350696
4336,Irma – Puerto Rico,PR,Comerio,77362.95999999999,44911.55718574734,122274.51718574733,65513.369999999995,35753.74980967245,101267.11980967244
4336,Irma – Puerto Rico,PR,Culebra,50681.82,29422.341870163105,80104.16187016311,41154.520000000004,23422.903055659368,64577.42305565937
4336,Irma – Puerto Rico,PR,Guaynabo,688368.4,399618.84552325046,1087987.2455232504,573584.24,318133.52992807585,891717.7699280758
4336,Irma – Puerto Rico,PR,Gurabo,331740.80000000005,192585.64964481164,524326.4496448117,272997.78,153315.97401211885,426313.7540121189
4336,Irma – Puerto Rico,PR,Hatillo,17479.48,10147.371113994695,27626.851113994693,13606.93,8078.245128200543,21685.175128200543
4336,Irma – Puerto Rico,PR,Jayuya,112697.84,65424.53243606765,178122.37243606764,85011.34999999999,52083.973718824825,137095.32371882483
4336,Irma – Puerto Rico,PR,Juncos,187628.84,108924.26268792506,296553.10268792504,152416.51,86713.77882179098,239130.288821791
4336,Irma – Puerto Rico,PR,Las Piedras,149553.66999999998,86820.4655372983,236374.13553729828,126545.40999999999,69117.11367168883,195662.5236716888
4336,Irma – Puerto Rico,PR,Loiza,182654.84000000003,106036.70402365076,288691.5440236508,154855.85,84415.01528490835,239270.86528490836
4336,Irma – Puerto Rico,PR,Luquillo,283645.98,164665.14015592667,448311.1201559267,222734.49,131088.66831671586,353823.15831671585
4336,Irma – Puerto Rico,PR,Naguabo,250826.69,145612.54160449293,396439.23160449293,199503.37,115921.03921370475,315424.40921370476
4336,Irma – Puerto Rico,PR,Orocovis,83736.05,48611.33025524875,132347.38025524875,63006.89,38699.111070080864,101706.00107008086
4336,Irma – Puerto Rico,PR,Patillas,65354.8,37940.45416001509,103295.25416001509,54226.49,30204.107599569375,84430.59759956937
4336,Irma – Puerto Rico,PR,Quebradillas,51467.33,29878.35437647073,81345.68437647073,44071.07,23785.931150926095,67857.0011509261
4336,Irma – Puerto Rico,PR,Salinas,23714.75,13767.135471169948,37481.885471169946,18068.38,10959.912059969394,29028.292059969397
4336,Irma – Puerto Rico,PR,San Juan,3790003.08,2200212.3504785565,5990215.430478556,2952395.13,1751572.3532321928,4703967.483232193
4336,Irma – Puerto Rico,PR,Utuado,40005.52,23224.42418472043,63229.94418472043,30004.14,18488.787826704764,48492.92782670476
4336,Irma – Puerto Rico,PR,Vega Baja,149468.94,86771.27718876112,236240.2171887611,128203.26,69077.9552007439,197281.2152007439
4336,Irma – Puerto Rico,PR,Vieques,92342.85,53607.84008871803,145950.69008871802,72397.82,42676.794626422154,115074.61462642216
4336,Irma – Puerto Rico,PR,Yauco,190394.53,110529.83006271333,300924.3600627133,142795.9,87991.9588230618,230787.8588230618
4337,Irma – Florida,FL,Alachua County,17603450.62,3729491.354608072,21332941.97460807,16106684.23,3517319.707385829,19624003.93738583
4337,Irma – Florida,FL,Baker County,1367164.07,289649.26760454563,1656813.3376045458,1263911.3599999999,273171.0521105105,1537082.4121105103
4337,Irma – Florida,FL,Bay County,72764.98,15416.089134246637,88181.06913424663,71990.06,14539.064169087076,86529.12416908707
4337,Irma – Florida,FL,Bradford County,1311353.71,277825.20767387026,1589178.9176738702,1204159.13,262019.66575212972,1466178.7957521295
4337,Irma – Florida,FL,Brevard County,52691874.0,11163373.180814354,63855247.180814356,48561672.02,10528286.234332105,59089958.25433211
4337,Irma – Florida,FL,Broward County,196759626.04,41685766.051934265,238445392.09193426,181817994.95,39314252.93982265,221132247.88982263
4337,Irma – Florida,FL,Calhoun County,59431.1,12591.15490647184,72022.25490647183,58519.31,11874.841119167915,70394.15111916792
4337,Irma – Florida,FL,Charlotte County,47444144.41,10051581.943987744,57495726.35398774,42904535.13,9479745.064513505,52384280.19451351
4337,Irma – Florida,FL,Citrus County,3665212.25,776516.9280872841,4441729.178087284,3387691.4299999997,732340.6959786703,4120032.12597867
4337,Irma – Florida,FL,Clay County,29750558.169999998,6302994.332470228,36053552.502470225,27148791.65,5944415.490800489,33093207.140800487
4337,Irma – Florida,FL,Collier County,131375031.89999999,27833295.656576768,159208327.55657676,120848454.13,26249852.86892076,147098306.99892074
4337,Irma – Florida,FL,Columbia County,960884.64,203574.34658771972,1164458.9865877198,898117.44,191992.95375399175,1090110.3937539917
4337,Irma – Florida,FL,DeSoto County,5434632.7299999995,1151388.7941366043,6586021.524136604,4944564.3100000005,1085886.0127068113,6030450.322706812
4337,Irma – Florida,FL,Dixie County,403308.97,85445.59525971426,488754.56525971426,379274.23,80584.57509090794,459858.8050909079
4337,Irma – Florida,FL,Duval County,100080763.97,21203248.84285022,121284012.81285022,91921623.4,19996990.990048893,111918614.39004889
4337,Irma – Florida,FL,Flagler County,9203834.08,1949936.9965345543,11153771.076534554,8506209.57,1839004.6185782023,10345214.188578203
4337,Irma – Florida,FL,Franklin County,51937.62,11003.5758869257,62941.19588692571,51937.62,10377.579846371982,62315.19984637199
4337,Irma – Florida,FL,Gadsden County,514963.26,109100.82730761729,624064.0873076173,480293.23,102894.05538024298,583187.285380243
4337,Irma – Florida,FL,Gilchrist County,259384.15,54953.48416794452,314337.63416794455,245538.72,51827.16742716218,297365.8874271622
4337,Irma – Florida,FL,Glades County,1287009.54,272667.61820405594,1559677.1582040559,1177141.81,257155.49276983575,1434297.3027698358
4337,Irma – Florida,FL,Gulf County,122311.90000000001,25913.168018173874,148225.0680181739,115095.15000000001,24438.961747023935,139534.11174702394
4337,Irma – Florida,FL,Hamilton County,706982.36,149782.25896715763,856764.6189671576,651813.24,141261.11074932778,793074.3507493278
4337,Irma – Florida,FL,Hardee County,8823712.46,1869403.9052621562,10693116.365262156,8051390.38,1763053.073958286,9814443.453958286
4337,Irma – Florida,FL,Hendry County,7146294.859999999,1514023.89640413,8660318.75640413,6522689.42,1427890.718045372,7950580.138045372
4337,Irma – Florida,FL,Hernando County,3792421.43,803467.6406082582,4595889.070608258,3533414.3,757758.176075785,4291172.476075785
4337,Irma – Florida,FL,Highlands County,16524277.190000001,3500856.1816417538,20025133.371641755,15009764.370000001,3301691.64360647,18311456.01360647
4337,Irma – Florida,FL,Hillsborough County,37986975.04,8047972.983116909,46034948.02311691,35453158.89,7590121.892372802,43043280.7823728
4337,Irma – Florida,FL,Holmes County,25238.160000000003,5346.991425605809,30585.151425605814,25238.160000000003,5042.799815923632,30280.959815923634
4337,Irma – Florida,FL,Indian River County,11920241.6,2525438.8444462535,14445680.444446253,10987673.68,2381766.029942167,13369439.709942166
4337,Irma – Florida,FL,Jackson County,57860.86,12258.481691937053,70119.34169193705,52811.74,11561.093762666651,64372.83376266665
4337,Irma – Florida,FL,Jefferson County,207991.73,44065.41510581272,252057.14510581273,199783.29,41558.52319494121,241341.8131949412
4337,Irma – Florida,FL,Lafayette County,122543.90000000001,25962.3198585117,148506.2198585117,116891.64,24485.317327513727,141376.95732751372
4337,Irma – Florida,FL,Lake County,19443466.8,4119319.723135569,23562786.52313557,17737933.78,3884970.6476207944,21622904.427620795
4337,Irma – Florida,FL,Lee County,140504877.98,29767557.45327117,170272435.43327117,128520103.41,28074074.053493448,156594177.46349344
4337,Irma – Florida,FL,Leon County,5821997.12,1233456.3486617769,7055453.468661777,5413133.96,1163284.7246013144,6576418.684601314
4337,Irma – Florida,FL,Levy County,2834355.13,600490.391424408,3434845.521424408,2614770.75,566328.3507128174,3181099.100712817
4337,Irma – Florida,FL,Liberty County,45431.12,9625.09981296848,55056.219812968484,44802.41,9077.525603023532,53879.935603023536
4337,Irma – Florida,FL,Madison County,1442224.33,305551.637928838,1747775.967928838,1308888.75,288168.73281747097,1597057.482817471
4337,Irma – Florida,FL,Manatee County,23947236.63,5073494.617973867,29020731.247973867,22170825.34,4784862.306509018,26955687.646509018
4337,Irma – Florida,FL,Marion County,37108018.97,7861756.136493613,44969775.106493615,33824935.91,7414498.966295743,41239434.87629574
4337,Irma – Florida,FL,Martin County,19873983.91,4210529.672503772,24084513.582503773,18002139.17,3970991.6413485454,21973130.811348546
4337,Irma – Florida,FL,Miami-Dade County,480753482.93,101853096.701853,582606579.631853,440768190.08,96058649.88668145,536826839.9666814
4337,Irma – Florida,FL,Monroe County,164713084.26,34896341.461632185,199609425.72163218,151497004.64000002,32911080.323864397,184408084.96386442
4337,Irma – Florida,FL,Nassau County,10706568.22,2268308.326359911,12974876.546359912,9849494.06,2139263.727981351,11988757.787981352
4337,Irma – Florida,FL,Okaloosa County,23244.5,4924.611865226871,28169.11186522687,23244.5,4644.449528857763,27888.949528857764
4337,Irma – Florida,FL,Okeechobee County,3205491.27,679119.8064971564,3884611.076497156,2918966.18,640484.5197233398,3559450.69972334
4337,Irma – Florida,FL,Orange County,83587438.39,17708950.112040013,101296388.50204001,76059403.85,16701483.74234175,92760887.59234175
4337,Irma – Florida,FL,Osceola County,13545396.870000001,2869746.483908405,16415143.353908407,12554164.9,2706485.9261787916,15260650.826178793
4337,Irma – Florida,FL,Palm Beach County,120857986.71000001,25605139.941039708,146463126.65103972,111622930.24000001,24148457.46021456,135771387.70021456
4337,Irma – Florida,FL,Pasco County,16912677.52,3583143.2118457174,20495820.731845718,15693328.299999999,3379297.345156372,19072625.645156372
4337,Irma – Florida,FL,Pinellas County,51251027.81,10858113.517528808,62109141.32752881,48136037.4,10240392.865651257,58376430.265651256
4337,Irma – Florida,FL,Polk County,74513253.66,15786480.805811936,90299734.46581194,67968789.96,14888384.1706574,82857174.13065739
4337,Irma – Florida,FL,Putnam County,12498822.47,2648017.7864495357,15146840.256449535,11335269.69,2497371.426878114,13832641.116878115
4337,Irma – Florida,FL,Santa Rosa County,3947.44,836.3100888929064,4783.750088892906,3947.44,788.7322096923698,4736.1722096923695
4337,Irma – Florida,FL,Sarasota County,20013596.919999998,4240108.277575338,24253705.19757534,18725475.55,3998887.51256612,22724363.06256612
4337,Irma – Florida,FL,Seminole County,34280075.02,7262624.02651635,41542699.04651635,31658012.92,6849451.6240765685,38507464.54407657
