disasterNumber,state,county_clean,validRegistrations,totalDamage,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount
4337,FL,Indian River County,5980,2525670.3,1616,2536433.21,1297397.96,592248.0
4337,FL,Lafayette County,641,88989.34999999999,214,223231.78,59235.85,111520.0
4337,FL,Lake County,22669,5658509.22,5114,7018644.47,2335894.33,2944314.0
4337,FL,Lee County,64350,26985038.01,18112,29705176.84,13382095.24,9456935.5
4337,FL,Levy County,2742,591259.52,873,924351.39,300728.82,363180.0
4337,FL,Manatee County,14894,3605750.0,3825,5215581.03,1717795.81,2117579.0
4337,FL,Marion County,26894,7410532.64,8874,12122674.85,3991674.76,5442272.0
4337,FL,Martin County,4578,1050179.7,1057,1581441.8,612092.0,566081.0
4337,FL,Miami-Dade County,221357,50795935.48,62622,86917623.06,21583615.25,43701621.5
4337,FL,Monroe County,19444,57457912.519999996,8091,46591490.85,29494181.650000002,11819720.6
4337,FL,Nassau County,4292,2139081.71,1217,2302129.27,1109164.1,781415.0
4337,FL,Okeechobee County,3469,2035784.2799999998,878,1703911.2799999998,952950.1100000001,353958.0
4337,FL,Orange County,68452,15965945.92,16268,20745517.85,6297488.04,8498205.129999999
4337,FL,Osceola County,19645,7703591.16,3488,6014246.26,3097863.72,1542892.0
4337,FL,Palm Beach County,69771,10862927.38,18675,24380031.92,4392083.54,13184912.0
4337,FL,Pasco County,24484,6238245.27,6633,9778309.93,3410493.07,4101642.0
4337,FL,Pinellas County,69755,7236683.92,20427,21983939.24,2997939.9,12920384.0
4337,FL,Polk County,55550,22580813.86,15622,24731128.07,11076602.69,7622980.0
4337,FL,Putnam County,8648,4734383.15,2996,5121814.51,2608198.75,1505105.0
4337,FL,Sarasota County,16913,2970653.9,4599,5954715.25,1545782.94,2915564.0
4337,FL,Seminole County,27655,6620947.41,6998,9595682.42,3060747.83,4413938.0
4337,FL,St. Johns County,7804,6075743.88,2291,4948936.4,2673477.77,1426682.02
4337,FL,St. Lucie County,18097,6961891.5,3847,7276497.8,3781389.53,2033086.0
4337,FL,Sumter County,4472,1756999.7,1331,2178124.44,1011261.5900000001,682777.4
4337,FL,Suwannee County,3138,685096.4,1016,1087456.41,282399.5,500292.0
4337,FL,Union County,748,295790.60000000003,189,336319.59,173799.0,100376.0
4337,FL,Volusia County,31908,10095880.78,8775,13573166.81,4921604.22,5598240.0
4337,GA,Bulloch County,1,0.0,0,0.0,0.0,0.0
4337,MS,Lowndes County,1,0.0,0,0.0,0.0,0.0
4337,PR,Fajardo,1,0.0,0,0.0,0.0,0.0
4337,PR,Guayama,1,0.0,0,0.0,0.0,0.0
4337,PR,Humacao,1,0.0,0,0.0,0.0,0.0
4337,PR,Juana Diaz,1,0.0,0,0.0,0.0,0.0
4337,PR,Las Piedras,1,0.0,0,0.0,0.0,0.0
4337,SC,Cherokee County,1,0.0,0,0.0,0.0,0.0
4337,TX,Blanco County,1,0.0,1,500.0,0.0,0.0
4337,TX,Burnet County,1,0.0,0,0.0,0.0,0.0
4338,FL,Volusia County,1,0.0,0,0.0,0.0,0.0
4338,GA,Camden County,2460,1765125.9,550,1677721.0199999998,1088036.53,401191.0
4338,GA,Charlton County,481,328623.3,102,252982.99,173874.5,53466.0
4338,GA,Chatham County,6869,2212894.29,1327,2232713.42,914443.25,798665.72
4338,GA,Coffee County,490,290150.89,115,203503.9,127852.5,54348.0
4338,GA,Glynn County,4684,3341713.52,1166,2780337.1,1550674.68,813420.09
4338,GA,Liberty County,751,538777.1599999999,152,519631.7,316540.76,129756.0
4338,GA,McIntosh County,1024,564651.5,245,531540.1,287770.0,169489.0
4338,GA,Statewide,1,0.0,0,0.0,0.0,0.0
4339,PR,Adjuntas,4071,14063272.88,2137,10383518.84,6473195.19,766260.9
4339,PR,Aguada,9902,21126827.06,4169,16643330.850000001,9065956.9,1176278.45
4339,PR,Aguadilla,11535,15523405.580000002,3993,12324755.0,6533520.13,997652.41
4339,PR,Aguas Buenas,5749,15388278.59,2725,10905174.350000001,6857606.23,1015337.0
4339,PR,Aibonito,6095,22542720.1,3078,15163138.44,9437363.86,1145501.0
4339,PR,Anasco,7138,18762070.25,3335,15363243.32,7942081.01,1282194.0
4339,PR,Arecibo,22118,41025265.15,9758,34598753.87,18347782.04,2900182.54
4339,PR,Arroyo,4445,13160032.81,2076,8396739.69,5296323.03,587848.0
4339,PR,Barceloneta,6328,12643961.85,3087,10928724.940000001,5992851.31,1065757.0
4339,PR,Barranquitas,6975,24758577.95,4091,18293506.43,10550634.72,1272848.0
4339,PR,Bayamon,41094,52405990.25,15226,38024785.6,21066646.39,4925392.96
4339,PR,Cabo Rojo,10799,6189421.0,3302,5655094.67,2650061.71,487553.0
4339,PR,Caguas,28581,43412468.39999999,11152,30473893.439999998,16993384.919999998,3134450.85
4339,PR,Camuy,8214,9556430.52,3097,8613569.91,4527492.88,686798.21
4339,PR,Canovanas,12309,52208739.74,6217,30379953.279999997,16451037.49,2688113.0
4339,PR,Carolina,33635,27784349.96,11735,21188316.91,9996572.78,3028670.0
4339,PR,Catano,4360,8363243.0,2005,6587715.53,3360192.74,829976.0
4339,PR,Cayey,9905,28466011.23,4183,18359229.73,11569030.09,1474428.0
4339,PR,Ceiba,2973,6457093.37,1426,4649706.159999999,2562607.48,358625.0
4339,PR,Ciales,4499,19730620.27,2509,13116455.27,8111900.9,752812.04
4339,PR,Cidra,9780,23755597.11,4266,15733654.709999999,9253136.22,1295678.0
4339,PR,Coamo,9132,19909839.5,4217,14654788.549999999,8137346.249999999,1090218.0
4339,PR,Comerio,4825,23247707.64,2916,15490281.89,9179911.129999999,1356396.1
4339,PR,Corozal,8682,34868396.34,4773,22987424.400000002,13379846.389999999,2082793.0
4339,PR,Culebra,337,1611978.76,144,716112.85,531770.11,53292.0
4339,PR,Dorado,8504,19866905.25,3846,14452493.87,8149735.64,1640697.75
4339,PR,Fajardo,7866,8594840.08,3021,6679080.22,3143910.3000000003,740993.0
