disasterNumber,state,county,ia_totalApprovedIhp,denial_multiplier,d_i,population,n_i,ia_validRegistrations,adjusted_applicants,fema_per_capita,fema_per_applicant
4332,TX,Aransas County,30527809.96,1.4285714285714286,43611157.08571429,25421.0,2337.683586798377,13059.0,18655.714285714286,1200.8894205578065,1636.3785107588635
4332,TX,Austin County,1206073.89,1.4285714285714286,1722962.7,29729.0,1446.1317625899278,834.0,1191.4285714285716,40.568935719331286,1012.2922338129495
4332,TX,Bastrop County,801406.51,1.4285714285714286,1144866.442857143,84624.0,1047.590209150327,765.0,1092.857142857143,9.47020360654188,733.3131464052287
4332,TX,Bee County,856932.55,1.4285714285714286,1224189.3571428573,32598.0,375.84760964912283,2280.0,3257.1428571428573,26.287887293699,263.09332675438594
4332,TX,Brazoria County,75089385.68,1.4285714285714286,107270550.97142859,362261.0,1881.7980021552266,39903.0,57004.28571428572,207.27979462321366,1317.2586015086586
4332,TX,Caldwell County,296325.96,1.4285714285714286,423322.80000000005,42302.0,1229.5682987551868,241.0,344.2857142857143,7.0050106377949035,860.6978091286308
4332,TX,Calhoun County,4927668.29,1.4285714285714286,7039526.128571428,21716.0,793.1222098825043,6213.0,8875.714285714286,226.91417802541903,555.1855469177531
4332,TX,Chambers County,25926365.200000003,1.4285714285714286,37037664.571428575,41249.0,4309.568683510639,6016.0,8594.285714285714,628.5331814104585,3016.6980784574475
4332,TX,Colorado County,1670617.91,1.4285714285714286,2386597.0142857144,21301.0,1647.5521794871795,1014.0,1448.5714285714287,78.42908361109806,1153.2865256410255
4332,TX,DeWitt County,773530.8600000001,1.4285714285714286,1105044.085714286,20164.0,550.555772241993,1405.0,2007.142857142857,38.361974806586,385.3890405693951
4332,TX,Fayette County,5551638.390000001,1.4285714285714286,7930911.985714287,25110.0,6948.233279098874,799.0,1141.4285714285716,221.09272759856634,4863.763295369212
4332,TX,Fort Bend County,97539696.02,1.4285714285714286,139342422.8857143,768258.0,1676.5447329792537,58179.0,83112.85714285714,126.96216117502193,1173.5813130854774
4332,TX,Galveston County,109100465.0,1.4285714285714286,155857807.14285713,334691.0,2448.8892505218737,44551.0,63644.28571428572,325.97370410318774,1714.2224753653115
4332,TX,Goliad County,689934.58,1.4285714285714286,985620.8285714285,7559.0,610.021732979664,1131.0,1615.7142857142858,91.27326101336155,427.01521308576474
4332,TX,Gonzales County,301353.19,1.4285714285714286,430504.5571428572,20743.0,497.28249174917494,606.0,865.7142857142858,14.527946295135708,348.0977442244224
4332,TX,Grimes County,649697.17,1.4285714285714286,928138.8142857144,27924.0,1620.1924438902745,401.0,572.8571428571429,23.26662261853603,1134.134710723192
4332,TX,Hardin County,37126940.59,1.4285714285714286,53038486.55714286,57194.0,3649.9155121903264,10172.0,14531.428571428572,649.1404795957618,2554.9408585332285
4332,TX,Harris County,780618046.3699999,1.4285714285714286,1115168637.6714284,4655798.0,1746.052229084093,447076.0,638680.0,167.66578927393326,1222.236560358865
4332,TX,Jackson County,717188.8,1.4285714285714286,1024555.4285714286,14798.0,304.40950764006794,2356.0,3365.714285714286,48.46525206108934,213.08665534804754
4332,TX,Jasper County,4644882.08,1.4285714285714286,6635545.828571429,35580.0,1085.7601870032724,4278.0,6111.428571428572,130.54755705452502,760.0321309022908
