Metric,Value
PR per applicant (Utilitarian),589.7320650347291
TX per applicant (Utilitarian),1781.6016818201815
PR/TX ratio (Utilitarian),0.3310122969979612
PR per applicant (FEMA),481.7310564781391
TX per applicant (FEMA),1307.7832027525596
PR/TX ratio (FEMA),0.36835696884943514
