state,county,population,applicants,d_i,n_i,ia_totalApprovedIhp,fema_per_applicant,num_disasters,disaster_list,x_i_utilitarian,y_i,pct_need_met,per_applicant_alloc
FL,Indian River County,154260.0,11238.0,5860555.042857143,521.4944868176849,4102388.53,365.04614077237943,1,[4337],0.0,0,0.0,0.0
FL,Lafayette County,8603.0,971.0,465245.5142857143,479.1405914373989,325671.86,335.39841400617917,1,[4337],0.0,0,0.0,0.0
FL,Lake County,345848.0,38491.0,16752349.471428571,435.2277018375353,11726644.63,304.65939128627474,1,[4337],0.0,0,0.0,0.0
FL,Lee County,741188.0,125234.0,73530728.2,587.1466870019324,51471509.74,411.0026809013527,1,[4337],0.0,0,0.0,0.0
FL,Levy County,40339.0,4283.0,1836407.4857142856,428.7666322003936,1285485.24,300.1366425402755,1,[4337],0.0,0,0.0,0.0
FL,Manatee County,385458.0,30821.0,14856351.171428572,482.02041372533574,10399445.82,337.414289607735,1,[4337],0.0,0,0.0,0.0
FL,Marion County,353953.0,48635.0,27082699.5,556.8561632569138,18957889.65,389.79931427983956,1,[4337],0.0,0,0.0,0.0
FL,Martin County,159716.0,8219.0,3726762.9857142856,453.432654302748,2608734.09,317.40285801192357,1,[4337],0.0,0,0.0,0.0
FL,Miami-Dade County,2709126.0,596034.0,318999569.4571429,535.2036451899437,223299698.62,374.64255163296053,1,[4337],0.0,0,0.0,0.0
FL,Monroe County,76556.0,39479.0,95521739.85714288,2419.5582425376247,66865217.900000006,1693.690769776337,1,[4337],0.0,0,0.0,0.0
FL,Nassau County,83024.0,6391.0,4301328.342857143,673.0290006035273,3010929.84,471.1203004224691,1,[4337],0.0,0,0.0,0.0
FL,Okeechobee County,41248.0,5255.0,3142115.457142857,597.9287263830365,2199480.82,418.5501084681256,1,[4337],0.0,0,0.0,0.0
FL,Orange County,1357720.0,162422.0,68368468.30000001,420.93108261196153,47857927.81,294.65175782837304,1,[4337],0.0,0,0.0,0.0
FL,Osceola County,353306.0,36527.0,15419160.17142857,422.13048351708517,10793412.12,295.49133846195963,1,[4337],0.0,0,0.0,0.0
FL,Palm Beach County,1470583.0,158081.0,80968664.84285715,512.1973218973637,56678065.39,358.53812532815454,1,[4337],0.0,0,0.0,0.0
FL,Pasco County,525533.0,47515.0,23777566.542857144,500.4223201695705,16644296.58,350.2956241186994,1,[4337],0.0,0,0.0,0.0
FL,Pinellas County,968886.0,145023.0,65467423.92857143,451.42786956945747,45827196.75,315.9995086986202,1,[4337],0.0,0,0.0,0.0
FL,Polk County,685790.0,102837.0,57410430.0,558.2662854809067,40187301.0,390.7863998366347,1,[4337],0.0,0,0.0,0.0
FL,Putnam County,73418.0,14001.0,9666087.971428571,690.3855418490516,6766261.58,483.26987929433614,1,[4337],0.0,0,0.0,0.0
FL,Sarasota County,420073.0,30599.0,14806186.07142857,483.8781029258659,10364330.25,338.71467204810614,1,[4337],0.0,0,0.0,0.0
FL,Seminole County,463052.0,56959.0,28802119.32857143,505.6640623706777,20161483.53,353.96484365947435,1,[4337],0.0,0,0.0,0.0
FL,St. Johns County,244067.0,12344.0,9274265.871428572,751.3177147949264,6491986.11,525.9224003564485,1,[4337],0.0,0,0.0,0.0
FL,St. Lucie County,313207.0,32878.0,17770773.485714287,540.5065236849653,12439541.44,378.3545665794756,1,[4337],0.0,0,0.0,0.0
FL,Sumter County,125298.0,7081.0,4005315.6142857145,565.6426513607844,2803720.93,395.9498559525491,1,[4337],0.0,0,0.0,0.0
FL,Suwannee County,44125.0,5191.0,2317199.385714285,446.3878608580784,1622039.5699999998,312.47150260065496,1,[4337],0.0,0,0.0,0.0
FL,Union County,15455.0,1320.0,670589.2714285714,508.02217532467535,469412.49,355.6155227272727,1,[4337],0.0,0,0.0,0.0
FL,Volusia County,538755.0,62207.0,35680254.72857143,573.5729858146419,24976178.31,401.5010900702493,2,"[4337, 4338]",0.0,0,0.0,0.0
GA,Bulloch County,76046.0,2.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
GA,Camden County,53211.0,4846.0,3310307.1857142854,683.1009462885443,2317215.03,478.17066240198096,1,[4338],0.0,0,0.0,0.0
GA,Charlton County,12779.0,731.0,416981.1285714285,570.4256204807504,291886.79,399.29793433652526,1,[4338],0.0,0,0.0,0.0
GA,Chatham County,289771.0,22735.0,6932444.114285714,304.9238669138207,4852710.88,213.4467068396745,2,"[4337, 4338]",0.0,0,0.0,0.0
GA,Coffee County,42871.0,681.0,317129.8571428572,465.6826096077198,221990.9,325.9778267254038,1,[4338],0.0,0,0.0,0.0
GA,Dougherty County,89537.0,1.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
GA,Glynn County,84836.0,11081.0,6590321.742857144,594.7407041654313,4613225.220000001,416.31849291580187,1,[4338],0.0,0,0.0,0.0
GA,Liberty County,61819.0,2088.0,1018757.3714285716,487.91061850027376,713130.16,341.5374329501916,1,[4338],0.0,0,0.0,0.0
